"","LN.me","LN.sd","SP.me","SP.sd"
"188",80.1256867350306,3.98322484251674,1.19697538533329,0.106202194713963
"188.5",80.1256867350306,4.08629584016961,1.19697538533329,0.106357436513604
"189",80.1256867350306,4.18536371180036,1.19697538533329,0.10653108047151
"189.5",80.071955014042,4.17889589926385,1.19697538533329,0.106226245090993
"190",80.071955014042,4.16580304621902,1.19678402457867,0.106078758564809
"190.5",80.071955014042,4.16580304621902,1.1962771003189,0.106624025200702
"191",80.1256867350306,4.16782057918593,1.1962771003189,0.106361959016389
"191.5",80.1256867350306,4.1683945883033,1.19085769581934,0.106358490804636
"192",80.1256867350306,4.14546585565906,1.19026820419253,0.106072965115867
"192.5",80.1435529297707,4.09209163284083,1.18937410204956,0.105315971954909
"193",80.1435529297707,4.02941805589123,1.18834912311711,0.104364245794763
